,transaction_id,card_id,transaction_date,transaction_time,payment_method,full_price,forma_bandeira,forma_pagamento,bandeira
0,10002019-04-0116:07:20,732,2019-04-01,16:07:20,Cartão,5.0,credito - elo,credito,elo
1,10002019-04-0409:41:12,5312,2019-04-04,09:41:12,Cartão,4.25,voucher - ticket,voucher,ticket
2,10002019-04-0511:36:32,8149,2019-04-05,11:36:32,Cartão,2.5,debito - mastercard,debito,mastercard
3,10002019-04-1510:34:12,0,2019-04-15,10:34:12,Dinheiro,3.0,credito - mastercard,credito,mastercard
4,10002019-04-1609:06:20,0,2019-04-16,09:06:20,Dinheiro,6.0,voucher - alelo,voucher,alelo
5,10002019-04-1709:54:28,0,2019-04-17,09:54:28,Dinheiro,8.0,voucher - ticket,voucher,ticket
6,10002019-04-2508:51:14,0,2019-04-25,08:51:14,Dinheiro,4.0,credito - elo,credito,elo
7,10002019-04-2610:24:39,0,2019-04-26,10:24:39,Dinheiro,3.0,credito - mastercard,credito,mastercard
8,10002019-04-2709:27:28,0,2019-04-27,09:27:28,Dinheiro,4.5,credito - elo,credito,elo
9,10012019-04-0218:23:01,8165,2019-04-02,18:23:01,Cartão,5.0,debito - visa,debito,visa
10,10012019-04-0315:07:55,123,2019-04-03,15:07:55,Cartão,3.1,credito - mastercard,credito,mastercard
11,10012019-04-0616:33:07,5743,2019-04-06,16:33:07,Cartão,2.55,credito - visa,credito,visa
12,10012019-04-1607:17:45,8306,2019-04-16,07:17:45,Cartão,8.3,debito - elo,debito,elo
13,10012019-04-1707:35:45,0,2019-04-17,07:35:45,Dinheiro,5.0,debito - elo,debito,elo
14,10012019-04-1806:51:55,0,2019-04-18,06:51:55,Dinheiro,3.75,credito - elo,credito,elo
15,10012019-04-2406:35:48,8391,2019-04-24,06:35:48,Cartão,6.2,voucher - ticket,voucher,ticket
16,10012019-04-2610:53:41,0,2019-04-26,10:53:41,Dinheiro,3.75,credito - elo,credito,elo
17,10012019-04-2709:07:40,0,2019-04-27,09:07:40,Dinheiro,4.5,voucher - sodexo,voucher,sodexo
18,1002019-04-0208:04:59,5257,2019-04-02,08:04:59,Cartão,4.75,voucher - sodexo,voucher,sodexo
19,1002019-04-0515:23:45,43,2019-04-05,15:23:45,Cartão,4.9,credito - visa,credito,visa
20,1002019-04-0517:14:28,8073,2019-04-05,17:14:28,Cartão,6.25,debito - elo,debito,elo
21,1002019-04-0616:00:53,90,2019-04-06,16:00:53,Cartão,2.5,debito - elo,debito,elo
22,1002019-04-0707:22:11,5230,2019-04-07,07:22:11,Cartão,6.0,voucher - ticket,voucher,ticket
23,1002019-04-0711:26:56,8436,2019-04-07,11:26:56,Cartão,6.0,credito - elo,credito,elo
24,1002019-04-0713:31:21,703,2019-04-07,13:31:21,Cartão,2.5,credito - elo,credito,elo
25,1002019-04-0807:10:57,0,2019-04-08,07:10:57,Dinheiro,24.0,credito - mastercard,credito,mastercard
26,1002019-04-0808:49:04,5653,2019-04-08,08:49:04,Cartão,26.9,debito - mastercard,debito,mastercard
27,1002019-04-0811:29:02,0,2019-04-08,11:29:02,Dinheiro,8.0,debito - visa,debito,visa
28,1002019-04-0907:00:13,558,2019-04-09,07:00:13,Cartão,3.75,voucher - sodexo,voucher,sodexo
29,1002019-04-0907:56:44,0,2019-04-09,07:56:44,Dinheiro,2.5,credito - elo,credito,elo
30,1002019-04-0909:13:41,8434,2019-04-09,09:13:41,Cartão,3.0,credito - visa,credito,visa
31,1002019-04-1009:04:03,448,2019-04-10,09:04:03,Cartão,2.5,voucher - alelo,voucher,alelo
32,1002019-04-1009:23:01,0,2019-04-10,09:23:01,Dinheiro,7.0,voucher - vr,voucher,vr
33,1002019-04-1010:11:31,0,2019-04-10,10:11:31,Dinheiro,5.85,debito - visa,debito,visa
34,1002019-04-1106:10:04,0,2019-04-11,06:10:04,Dinheiro,3.0,voucher - ticket,voucher,ticket
35,1002019-04-1108:06:28,8495,2019-04-11,08:06:28,Cartão,6.0,voucher - vr,voucher,vr
36,1002019-04-1108:41:48,0,2019-04-11,08:41:48,Dinheiro,5.0,debito - visa,debito,visa
