transaction_id,card_id,transaction_date,transaction_time,payment_method,full_price,forma_pagamento,bandeira
10002019-04-0116:07:20,732,2019-04-01,16:07:20,Cartão,5.0,credito,elo
10002019-04-0409:41:12,5312,2019-04-04,09:41:12,Cartão,4.25,voucher,ticket
10002019-04-0511:36:32,8149,2019-04-05,11:36:32,Cartão,2.5,debito,mastercard
10002019-04-1510:34:12,0,2019-04-15,10:34:12,Dinheiro,3.0,credito,mastercard
10002019-04-1609:06:20,0,2019-04-16,09:06:20,Dinheiro,6.0,voucher,alelo
10002019-04-1709:54:28,0,2019-04-17,09:54:28,Dinheiro,8.0,voucher,ticket
10002019-04-2508:51:14,0,2019-04-25,08:51:14,Dinheiro,4.0,credito,elo
10002019-04-2610:24:39,0,2019-04-26,10:24:39,Dinheiro,3.0,credito,mastercard
10002019-04-2709:27:28,0,2019-04-27,09:27:28,Dinheiro,4.5,credito,elo
10012019-04-0218:23:01,8165,2019-04-02,18:23:01,Cartão,5.0,debito,visa
10012019-04-0315:07:55,123,2019-04-03,15:07:55,Cartão,3.1,credito,mastercard
10012019-04-0616:33:07,5743,2019-04-06,16:33:07,Cartão,2.55,credito,visa
10012019-04-1607:17:45,8306,2019-04-16,07:17:45,Cartão,8.3,debito,elo
10012019-04-1707:35:45,0,2019-04-17,07:35:45,Dinheiro,5.0,debito,elo
10012019-04-1806:51:55,0,2019-04-18,06:51:55,Dinheiro,3.75,credito,elo
10012019-04-2406:35:48,8391,2019-04-24,06:35:48,Cartão,6.2,voucher,ticket
10012019-04-2610:53:41,0,2019-04-26,10:53:41,Dinheiro,3.75,credito,elo
10012019-04-2709:07:40,0,2019-04-27,09:07:40,Dinheiro,4.5,voucher,sodexo
1002019-04-0208:04:59,5257,2019-04-02,08:04:59,Cartão,4.75,voucher,sodexo
1002019-04-0515:23:45,43,2019-04-05,15:23:45,Cartão,4.9,credito,visa
1002019-04-0517:14:28,8073,2019-04-05,17:14:28,Cartão,6.25,debito,elo
1002019-04-0616:00:53,90,2019-04-06,16:00:53,Cartão,2.5,debito,elo
1002019-04-0707:22:11,5230,2019-04-07,07:22:11,Cartão,6.0,voucher,ticket
1002019-04-0711:26:56,8436,2019-04-07,11:26:56,Cartão,6.0,credito,elo
1002019-04-0713:31:21,703,2019-04-07,13:31:21,Cartão,2.5,credito,elo
1002019-04-0807:10:57,0,2019-04-08,07:10:57,Dinheiro,24.0,credito,mastercard
1002019-04-0808:49:04,5653,2019-04-08,08:49:04,Cartão,26.9,debito,mastercard
1002019-04-0811:29:02,0,2019-04-08,11:29:02,Dinheiro,8.0,debito,visa
1002019-04-0907:00:13,558,2019-04-09,07:00:13,Cartão,3.75,voucher,sodexo
1002019-04-0907:56:44,0,2019-04-09,07:56:44,Dinheiro,2.5,credito,elo
1002019-04-0909:13:41,8434,2019-04-09,09:13:41,Cartão,3.0,credito,visa
1002019-04-1009:04:03,448,2019-04-10,09:04:03,Cartão,2.5,voucher,alelo
1002019-04-1009:23:01,0,2019-04-10,09:23:01,Dinheiro,7.0,voucher,vr
1002019-04-1010:11:31,0,2019-04-10,10:11:31,Dinheiro,5.85,debito,visa
1002019-04-1106:10:04,0,2019-04-11,06:10:04,Dinheiro,3.0,voucher,ticket
1002019-04-1108:06:28,8495,2019-04-11,08:06:28,Cartão,6.0,voucher,vr
1002019-04-1108:41:48,0,2019-04-11,08:41:48,Dinheiro,5.0,debito,visa
1002019-04-1208:37:54,8064,2019-04-12,08:37:54,Cartão,2.5,credito,mastercard
1002019-04-1210:04:37,5448,2019-04-12,10:04:37,Cartão,2.5,credito,elo
1002019-04-1210:51:23,410,2019-04-12,10:51:23,Cartão,6.0,credito,elo
1002019-04-1309:39:40,689,2019-04-13,09:39:40,Cartão,5.0,voucher,ticket
1002019-04-1309:51:11,5838,2019-04-13,09:51:11,Cartão,5.0,voucher,sodexo
1002019-04-1310:54:55,8083,2019-04-13,10:54:55,Cartão,2.5,voucher,sodexo
1002019-04-1410:01:30,0,2019-04-14,10:01:30,Dinheiro,3.0,voucher,sodexo
1002019-04-1410:28:12,0,2019-04-14,10:28:12,Dinheiro,6.2,voucher,alelo
1002019-04-1410:41:17,38,2019-04-14,10:41:17,Cartão,12.55,voucher,vr
1002019-04-1608:33:25,0,2019-04-16,08:33:25,Dinheiro,12.5,voucher,sodexo
1002019-04-1610:18:06,0,2019-04-16,10:18:06,Dinheiro,7.75,voucher,alelo
1002019-04-1906:14:55,0,2019-04-19,06:14:55,Dinheiro,7.0,voucher,sodexo
1002019-04-2007:57:53,635,2019-04-20,07:57:53,Cartão,2.5,debito,elo
1002019-04-2008:06:11,0,2019-04-20,08:06:11,Dinheiro,9.1,debito,elo
1002019-04-2009:44:30,0,2019-04-20,09:44:30,Dinheiro,18.0,credito,mastercard
1002019-04-2110:41:17,38,2019-04-21,10:41:17,Cartão,12.55,credito,visa
